PWM,V_out,V_d,I_d_mA
804,1.6568,1.6544,0.0111
805,1.6601,1.656,0.0184
806,1.6617,1.6585,0.0148
807,1.6633,1.6617,0.0074
808,1.6665,1.6625,0.0184
809,1.6681,1.6649,0.0148
810,1.6697,1.6649,0.0221
811,1.6722,1.6689,0.0148
812,1.6738,1.6689,0.0221
813,1.6746,1.6714,0.0148
814,1.6778,1.6722,0.0258
815,1.6802,1.6762,0.0184
816,1.6834,1.6762,0.0332
817,1.6842,1.6778,0.0295
818,1.6851,1.6818,0.0148
819,1.6883,1.6826,0.0258
820,1.6907,1.6842,0.0295
821,1.6931,1.6851,0.0369
822,1.6947,1.6875,0.0332
823,1.6963,1.6883,0.0369
824,1.6979,1.6907,0.0332
825,1.7004,1.6939,0.0295
826,1.7028,1.6939,0.0406
827,1.706,1.6963,0.0443
828,1.7076,1.6971,0.0479
829,1.71,1.6996,0.0479
830,1.71,1.702,0.0369
831,1.7133,1.702,0.0516
832,1.7149,1.7028,0.0553
833,1.7173,1.7052,0.0553
834,1.7197,1.7084,0.0516
835,1.7213,1.7108,0.0479
836,1.7221,1.7116,0.0479
837,1.7262,1.7116,0.0664
838,1.7286,1.7141,0.0664
839,1.7302,1.7157,0.0664
840,1.7318,1.7181,0.0627
841,1.7342,1.7205,0.0627
842,1.7358,1.7213,0.0664
843,1.7374,1.7213,0.0738
844,1.739,1.7237,0.0701
845,1.7423,1.7253,0.0775
846,1.7439,1.7262,0.0811
847,1.7463,1.7278,0.0848
848,1.7495,1.7286,0.0959
849,1.7503,1.731,0.0885
850,1.7527,1.7318,0.0959
851,1.7519,1.7334,0.0848
852,1.7568,1.735,0.0996
853,1.7576,1.7366,0.0959
854,1.7608,1.7382,0.1033
855,1.7624,1.739,0.107
856,1.7648,1.7415,0.107
857,1.7664,1.7415,0.1143
858,1.7681,1.7431,0.1143
859,1.7713,1.7439,0.1254
860,1.7737,1.7439,0.1365
861,1.7769,1.7463,0.1401
862,1.7769,1.7479,0.1328
863,1.7793,1.7487,0.1401
864,1.7818,1.7503,0.1438
865,1.7834,1.7503,0.1512
866,1.7858,1.7519,0.1549
867,1.7874,1.7527,0.1586
868,1.789,1.7544,0.1586
869,1.7906,1.756,0.1586
870,1.793,1.7568,0.166
871,1.7963,1.76,0.166
872,1.7971,1.7584,0.177
873,1.7995,1.7592,0.1844
874,1.8027,1.7608,0.1918
875,1.8051,1.7608,0.2028
876,1.8051,1.7624,0.1955
877,1.8084,1.764,0.2028
878,1.81,1.7632,0.2139
879,1.8124,1.7632,0.225
880,1.8132,1.7656,0.2176
881,1.8164,1.7681,0.2213
882,1.8188,1.7664,0.2397
883,1.8204,1.7697,0.2324
884,1.8221,1.7705,0.236
885,1.8237,1.7705,0.2434
886,1.8277,1.7721,0.2545
887,1.8285,1.7713,0.2619
888,1.8301,1.7737,0.2582
889,1.8333,1.7745,0.2692
890,1.8341,1.7753,0.2692
891,1.8358,1.7761,0.2729
892,1.839,1.7785,0.2766
893,1.8414,1.7769,0.2951
894,1.843,1.7793,0.2914
895,1.8446,1.7793,0.2987
896,1.8462,1.7818,0.2951
897,1.8495,1.7826,0.3061
898,1.8503,1.7826,0.3098
899,1.8543,1.7826,0.3282
900,1.8551,1.7834,0.3282
901,1.8567,1.7834,0.3356
902,1.8599,1.7842,0.3467
903,1.8623,1.7858,0.3504
904,1.8632,1.7866,0.3504
905,1.8656,1.7866,0.3614
906,1.868,1.7882,0.3651
907,1.8696,1.789,0.3688
908,1.872,1.7898,0.3762
909,1.8744,1.789,0.3909
910,1.8768,1.7906,0.3946
911,1.8785,1.7914,0.3983
912,1.8801,1.7914,0.4057
913,1.8825,1.7922,0.4131
914,1.8849,1.793,0.4204
915,1.8857,1.793,0.4241
916,1.8881,1.7947,0.4278
917,1.8889,1.7947,0.4315
918,1.893,1.7922,0.461
919,1.8938,1.7963,0.4463
920,1.897,1.7955,0.4647
921,1.8994,1.7955,0.4758
922,1.901,1.7979,0.4721
923,1.9034,1.7987,0.4795
924,1.9051,1.7987,0.4868
925,1.9067,1.7987,0.4942
926,1.9099,1.8011,0.4979
927,1.9115,1.8003,0.509
928,1.9131,1.8019,0.509
